Index_code,Date,Open,Close,Low,High,Volume,Money,Change,Label
sh000001,37153,1800.24,1822.7,1784.91,1822.97,3961889000,4832961300,0.0134,1836.79
sh000001,37154,1826.42,1818.42,1814.46,1836.79,4857923000,5820950900,-0.0023,1821.34
sh000001,37155,1815.56,1807.02,1803.8,1821.34,3570653000,4024930900,-0.0063,1808.7
sh000001,37158,1804.89,1794.96,1791.62,1808.7,2744670000,3276990800,-0.0067,1813.31
sh000001,37159,1799.98,1793.88,1788.4,1813.31,2891030000,3395763500,-0.0006,1793.67
sh000001,37160,1793.65,1767.81,1765.17,1793.67,2769680000,3273619400,-0.0145,1779.13
sh000001,37161,1765.62,1764.93,1750.76,1779.13,3172501000,3770561900,-0.0016,1774.3
sh000001,37162,1766.13,1764.87,1751.72,1774.3,3421179000,4046742900,0,1773.8
sh000001,37172,1766.13,1726.53,1723.04,1773.8,2718523000,3081936900,-0.0217,1751.07
sh000001,37173,1724.17,1744.64,1722.22,1751.07,2720976000,3151316000,0.0105,1744.64
sh000001,37174,1744.04,1686.61,1683.71,1744.64,3931351000,4675751400,-0.0333,1693.22
sh000001,37175,1682.32,1638.33,1634.21,1693.22,4370308000,4937634600,-0.0286,1700.71
sh000001,37176,1637.75,1691.33,1598.79,1700.71,7239256000,8113369500,0.0324,1703.59
sh000001,37179,1692.17,1687.28,1670.27,1703.59,4588758000,5149456500,-0.0024,1691.65
sh000001,37180,1689.19,1655.9,1649.2,1691.65,3381676000,3769386300,-0.0186,1661.88
sh000001,37181,1654.93,1643.07,1635.92,1661.88,2743600000,3081268200,-0.0077,1651.11
sh000001,37182,1642.01,1615.58,1609.38,1651.11,3295868000,3531477200,-0.0167,1610.45
sh000001,37183,1610.45,1572.45,1550.91,1610.45,5930127000,6162060900,-0.0267,1563.4
sh000001,37186,1558.47,1520.67,1514.86,1563.4,4230598000,4282266800,-0.0329,1670.74
sh000001,37187,1642.22,1670.56,1625.15,1670.74,14219379000,15108635600,0.0986,1744.92
sh000001,37188,1733.64,1718.06,1685.72,1744.92,20347101000,23413280500,0.0284,1708.03
sh000001,37189,1708.03,1676.5,1673.05,1708.03,9725331000,11938461200,-0.0242,1681.9
sh000001,37190,1669.16,1677.88,1651.52,1681.9,6488651000,7450645200,0.0008,1701.12
sh000001,37193,1678.73,1700.48,1678.73,1701.12,5488756000,6326986200,0.0135,1704.48
sh000001,37194,1702.86,1682.77,1680.44,1704.48,3996723000,4570871600,-0.0104,1689.17
sh000001,37195,1678.93,1689.17,1655.89,1689.17,4051365000,4521887000,0.0038,1717.74
sh000001,37196,1692.35,1707.75,1688.1,1717.74,6319849000,6950324300,0.011,1711.74
sh000001,37197,1703.92,1691.35,1688.57,1711.74,4295089000,4625092200,-0.0096,1688.31
sh000001,37200,1687.84,1679.57,1671.23,1688.31,3474680000,3750232200,-0.007,1685.52
sh000001,37201,1678.17,1671.28,1668.66,1685.52,3827683000,3871546100,-0.0049,1669.46
sh000001,37202,1669.43,1594.05,1591.77,1669.46,5945893000,6247016800,-0.0462,1605.9
sh000001,37203,1566.52,1605.87,1550.47,1605.9,5239312000,5184760000,0.0074,1637.9
sh000001,37204,1605.08,1630.36,1582.85,1637.9,5797588000,6023150500,0.0153,1637.33
sh000001,37207,1631.8,1621.2,1619.11,1637.33,4038582000,4265992400,-0.0056,1623.45
sh000001,37208,1609.95,1615.93,1598.11,1623.45,3440496000,3507876800,-0.0033,1627.97
sh000001,37209,1615.75,1617.1,1614.59,1627.97,2773974000,2949790900,0.0007,1624.81
sh000001,37210,1619.26,1621.34,1612.91,1624.81,2518387000,2726783000,0.0026,1734.67
sh000001,37211,1725.45,1646.76,1644.61,1734.67,11031080000,12728561600,0.0157,1669.99
sh000001,37214,1645.09,1669.89,1644.82,1669.99,4574460000,5061767200,0.014,1703.74
sh000001,37215,1672.21,1699.73,1670.8,1703.74,9175387000,10016462900,0.0179,1707.93
sh000001,37216,1700.66,1705.66,1690.23,1707.93,6764502000,7499879400,0.0035,1715.93
sh000001,37217,1705.92,1715.81,1700.51,1715.93,6950134000,7609640300,0.006,1721.97
sh000001,37218,1715.65,1712.56,1704.14,1721.97,6370818000,6833086800,-0.0019,1710.13
sh000001,37221,1710.13,1705.89,1696,1710.13,4690350000,5098974900,-0.0039,1722.62
sh000001,37222,1705.51,1722.59,1704.85,1722.62,4991501000,5509311500,0.0098,1741.67
sh000001,37223,1725.54,1735,1725.16,1741.67,7538501000,8474959800,0.0072,1741.74
sh000001,37224,1735.38,1732.3,1728.89,1741.74,6752969000,7714605800,-0.0016,1748
sh000001,37225,1732.13,1747.99,1731.96,1748,7312507000,7841977600,0.0091,1767.44
sh000001,37228,1751.05,1762.56,1750.92,1767.44,8639158000,9575219000,0.0083,1770.36
sh000001,37229,1763.79,1769.68,1754.87,1770.36,7373716000,8118587700,0.004,1776.02
sh000001,37230,1765.56,1745.23,1745.11,1776.02,9651883000,10564741800,-0.0138,1754.77
sh000001,37231,1740.08,1751.18,1737.06,1754.77,7793994000,8838671100,0.0034,1756.47
sh000001,37232,1752.02,1745.41,1743.33,1756.47,6596571000,6793402500,-0.0033,1748.97
sh000001,37235,1743.63,1748.68,1730.81,1748.97,5903595000,5843792200,0.0019,1748.98
sh000001,37236,1748.02,1728.88,1726.69,1748.98,5774565000,5955297300,-0.0113,1728.83
sh000001,37237,1724.88,1715.17,1714.18,1728.83,5637908000,6305420500,-0.0079,1720.55
sh000001,37238,1713.78,1688.01,1687.09,1720.55,6040616000,6199525500,-0.0158,1692.91
sh000001,37239,1683.73,1675.51,1673.32,1692.91,4788538000,4867165700,-0.0074,1680.84
sh000001,37242,1673.24,1665.94,1662.68,1680.84,3619417000,3949567400,-0.0057,1687.77
sh000001,37243,1666.51,1687.29,1660.5,1687.77,5108127000,5427693700,0.0128,1693.18
sh000001,37244,1688.92,1672.7,1671.94,1693.18,4618159000,5077227200,-0.0086,1669.48
sh000001,37245,1669.48,1631.54,1628.47,1669.48,5780252000,6230013200,-0.0246,1640.79
sh000001,37246,1627.44,1640.14,1624.5,1640.79,3783264000,4056996200,0.0053,1640.14
sh000001,37249,1639.52,1606.1,1601.24,1640.14,4228658000,4674129300,-0.0208,1613.6
sh000001,37250,1604.67,1611.17,1593.03,1613.6,4507744000,4490369100,0.0032,1634.33
sh000001,37251,1610.65,1633.64,1605.15,1634.33,4793935000,5077112200,0.0139,1644.41
sh000001,37252,1635.46,1627.92,1625.46,1644.41,5569166000,5946204900,-0.0035,1639.85
sh000001,37253,1626.96,1639.48,1619.53,1639.85,5126994000,5508550200,0.0071,1649.8
sh000001,37256,1641.43,1645.97,1638.32,1649.8,5169158000,5791001400,0.004,1643.5
sh000001,37260,1643.49,1611.39,1608.83,1643.5,3028482000,3211052900,-0.021,1605.74
sh000001,37263,1605.74,1596.76,1584.66,1605.74,2996972000,3033084100,-0.0091,1607.72
sh000001,37264,1594.87,1583.46,1582.45,1607.72,3482541000,3752639900,-0.0083,1580.72
sh000001,37265,1580.71,1561.35,1552.56,1580.72,4474518000,4243771400,-0.014,1580.01
sh000001,37266,1556.74,1576.44,1523.66,1580.01,5586042000,5529774900,0.0097,1574.27
sh000001,37267,1574.26,1535.59,1535.28,1574.27,5483496000,4516165800,-0.0259,1519.93
sh000001,37270,1519.93,1485.11,1484.46,1519.93,5929978000,5421763000,-0.0329,1491.7
sh000001,37271,1475.34,1459.65,1458.02,1491.7,5598174000,5112330800,-0.0171,1482.18
sh000001,37272,1458.84,1479.62,1439.4,1482.18,6379899000,5789750600,0.0137,1476.38
sh000001,37273,1476.36,1419.52,1416.3,1476.38,5682128000,4993908500,-0.0406,1434.97
sh000001,37274,1405.55,1415.44,1376.89,1434.97,7805993000,6855958200,-0.0029,1412.21
sh000001,37277,1407,1366.97,1362.62,1412.21,5676971000,4781876600,-0.0342,1400.76
sh000001,37278,1360.29,1358.69,1348.79,1400.76,7052189000,5872238800,-0.0061,1445.7
sh000001,37279,1355.86,1444.97,1346.17,1445.7,10514135000,8503139800,0.0635,1478.54
sh000001,37280,1435.32,1456.4,1400.35,1478.54,13670103000,11731684900,0.0079,1464.9
sh000001,37281,1449.88,1451.48,1442.94,1464.9,8148777000,6884379800,-0.0034,1448.6
sh000001,37284,1444.5,1359.55,1357.55,1448.6,10562805000,8673309200,-0.0633,1396.11
sh000001,37285,1343.36,1392.78,1339.2,1396.11,7303145000,5878101200,0.0244,1408.05
sh000001,37286,1392.95,1396.61,1381.01,1408.05,5993505000,4721291100,0.0027,1501.33
sh000001,37287,1413.22,1491.67,1413.22,1501.33,18800697000,17119339500,0.0681,1507.64
sh000001,37288,1494.58,1485.77,1480.77,1507.64,13404074000,12498441300,-0.004,1513.67
sh000001,37291,1485.68,1511.33,1476.13,1513.67,8424642000,7797091400,0.0172,1522.32
sh000001,37292,1510.57,1518.28,1502.09,1522.32,9616519000,8941866600,0.0046,1521.56
sh000001,37293,1517.81,1485.8,1484.25,1521.56,8320731000,7682564000,-0.0214,1521.03
sh000001,37294,1482.36,1515.39,1481.07,1521.03,9612960000,8516296500,0.0199,1530.13
sh000001,37295,1520.72,1506.62,1506.07,1530.13,7108149000,6585952400,-0.0058,1544.57
sh000001,37312,1540.49,1530.28,1521.66,1544.57,8070318000,7934071700,0.0157,1531.72
sh000001,37313,1529.38,1531.43,1507.58,1531.72,6634699000,6361964200,0.0008,1544.92
sh000001,37314,1531.32,1538.32,1524.69,1544.92,7113873000,6571922000,0.0045,1544.39
sh000001,37315,1537.93,1524.7,1521.08,1544.39,6477989000,6240795000,-0.0089,1521.57
sh000001,37316,1521.53,1502.54,1501.56,1521.57,5711626000,5351310000,-0.0145,1527.4
sh000001,37319,1497.83,1526.8,1494.83,1527.4,5520685000,5370162200,0.0161,1566.07
sh000001,37320,1529.3,1560.08,1529.3,1566.07,11747638000,11735387700,0.0218,1594.67
sh000001,37321,1564.69,1569.21,1563.92,1594.67,16091550000,15713024200,0.0059,1613.26
sh000001,37322,1569.17,1613,1569.07,1613.26,16338198000,16103668800,0.0279,1645.29
sh000001,37323,1622.87,1640.26,1611.23,1645.29,23170420000,22806740300,0.0169,1664.52
sh000001,37326,1643.59,1664.09,1632.62,1664.52,19476519000,19530693200,0.0145,1672.04
sh000001,37327,1665.24,1643.69,1641.58,1672.04,21011328000,21263796100,-0.0123,1655.63
sh000001,37328,1636.95,1623.43,1621.8,1655.63,15002304000,15291987700,-0.0123,1665.79
sh000001,37329,1621.08,1665.15,1621.08,1665.79,11950762000,12391854500,0.0257,1676.51
sh000001,37330,1671.83,1620.98,1620.56,1676.51,14025991000,14915337500,-0.0265,1657.68
sh000001,37333,1641.43,1623.88,1610.99,1657.68,12883394000,11327788600,0.0018,1665.62
sh000001,37334,1624.32,1665.36,1624.29,1665.62,13314616000,14084853400,0.0255,1686.11
sh000001,37335,1673.27,1682.51,1664.37,1686.11,18018800000,19462924500,0.0103,1693.87
sh000001,37336,1686.95,1685.02,1675.25,1693.87,13438279000,14229516000,0.0015,1684.46
sh000001,37337,1684.07,1669.69,1659.52,1684.46,10254529000,10774055500,-0.0091,1677.05
sh000001,37340,1667.85,1675.29,1663.4,1677.05,8792641000,9426936100,0.0034,1675.21
sh000001,37341,1674.7,1649.48,1641.91,1675.21,9253758000,9815939300,-0.0154,1655.18
sh000001,37342,1646.68,1654.23,1635.82,1655.18,7170409000,7603145900,0.0029,1666.52
sh000001,37343,1653.98,1650.67,1645.34,1666.52,7934354000,8865473600,-0.0022,1648.09
sh000001,37344,1648.09,1603.91,1596.25,1648.09,12008561000,11772498100,-0.0283,1609.92
sh000001,37347,1598.03,1608.51,1589.41,1609.92,6679696000,6838938200,0.0029,1610.73
sh000001,37348,1608.52,1582.88,1575.97,1610.73,7718211000,7592751300,-0.0159,1603.8
sh000001,37349,1582.74,1594.51,1582.67,1603.8,6399650000,6421700300,0.0073,1643.54
sh000001,37350,1595.02,1641.7,1583.63,1643.54,9103066000,9108101700,0.0296,1657.09
sh000001,37351,1650.5,1634.64,1628.55,1657.09,10153579000,9848770300,-0.0043,1643.68
sh000001,37354,1633.83,1640.65,1631.07,1643.68,6674854000,6581735000,0.0037,1671.86
sh000001,37355,1641.85,1667.52,1640.69,1671.86,16016339000,16660422200,0.0164,1677.94
sh000001,37356,1670.8,1677.66,1663.47,1677.94,12020418000,12565168300,0.0061,1680.3
sh000001,37357,1679.34,1649.53,1649.27,1680.3,9448778000,9759859000,-0.0168,1664.42
sh000001,37358,1648.45,1658.98,1648.45,1664.42,8156813000,8563896000,0.0057,1664.52
sh000001,37361,1660.57,1649.5,1638.64,1664.52,7267556000,7205438500,-0.0057,1654.74
sh000001,37362,1647.51,1640.29,1635.75,1654.74,6175374000,6371564700,-0.0056,1649.43
sh000001,37363,1641.72,1644.4,1630.23,1649.43,5840954000,5979327000,0.0025,1646.25
sh000001,37364,1644.15,1628.14,1626.03,1646.25,7304704000,7467267200,-0.0099,1635.53
sh000001,37365,1625.25,1635.17,1603.96,1635.53,8651145000,8358400600,0.0043,1637.19
sh000001,37368,1633.64,1627.48,1619.16,1637.19,5501232000,5534005700,-0.0047,1634.86
sh000001,37369,1626.63,1624.55,1621.87,1634.86,4999097000,5134076100,-0.0018,1626.39
sh000001,37370,1623.47,1611.05,1609.21,1626.39,5030652000,5084855200,-0.0083,1616.76
sh000001,37371,1609.94,1615.92,1603.64,1616.76,4688896000,4951057400,0.003,1643.15
sh000001,37372,1615.52,1640.59,1615.52,1643.15,7070195000,7282960100,0.0153,1667.16
sh000001,37375,1643.55,1665.81,1640.56,1667.16,10460379000,10874351500,0.0154,1673.75
sh000001,37376,1668.31,1667.75,1657.82,1673.75,9702351000,10682627600,0.0012,1670.92
sh000001,37384,1669.87,1652.37,1651.69,1670.92,4750116000,5179315400,-0.0092,1659.25
sh000001,37385,1648.46,1650.58,1646.82,1659.25,5573096000,5959699800,-0.0011,1652.29
sh000001,37386,1650.91,1638.2,1636.86,1652.29,6014883000,6406785000,-0.0075,1634.92
sh000001,37389,1634.9,1623.94,1618.46,1634.92,5672196000,6156730000,-0.0087,1629.88
sh000001,37390,1622.33,1616.23,1613.55,1629.88,5334278000,6108710600,-0.0047,1618.14
sh000001,37391,1614.9,1598.35,1597.92,1618.14,6034634000,6680825000,-0.0111,1592.24
sh000001,37392,1592.24,1549.5,1546.94,1592.24,8076547000,8213587300,-0.0306,1570.15
sh000001,37393,1549.08,1567.5,1540.58,1570.15,7162784000,7754365900,0.0116,1564.98
sh000001,37396,1564.97,1541.53,1529.35,1564.98,4782702000,4957018600,-0.0166,1599.11
sh000001,37397,1575.02,1588.11,1564.55,1599.11,9710710000,10168233600,0.0302,1591.03
sh000001,37398,1590.79,1564.49,1563.16,1591.03,5729430000,5936598800,-0.0149,1585.74
sh000001,37399,1571.08,1571.61,1568.1,1585.74,8191361000,6843172800,0.0046,1574.13
sh000001,37400,1572.94,1549.47,1544.42,1574.13,5648001000,5157363700,-0.0141,1562.63
sh000001,37403,1555.04,1555.05,1545.62,1562.63,3822156000,3708574800,0.0036,1569.41
sh000001,37404,1557.62,1558.52,1557.23,1569.41,3780719000,4005085000,0.0022,1558.15
sh000001,37405,1558.13,1524.81,1520.13,1558.15,5169974000,4943648900,-0.0216,1530.77
sh000001,37406,1524.22,1523.52,1506.54,1530.77,5526899000,5289912700,-0.0008,1532.03
sh000001,37407,1523.01,1515.73,1513.26,1532.03,4214320000,4065236800,-0.0051,1510.26
sh000001,37410,1510.25,1483.35,1480.09,1510.26,5179196000,5062896300,-0.0214,1498.05
sh000001,37411,1484.01,1490.51,1474.36,1498.05,4578395000,4302623800,0.0048,1491.07
sh000001,37412,1491.07,1462,1460.48,1491.07,4408388000,4114143600,-0.0191,1532.74
sh000001,37413,1458.61,1521.26,1455.31,1532.74,8775636000,8454172000,0.0405,1540.83
sh000001,37414,1522.88,1529.51,1508.43,1540.83,9858534000,9191488800,0.0054,1529.38
sh000001,37417,1529.34,1517.23,1511.26,1529.38,4484870000,4269575600,-0.008,1534.38
sh000001,37418,1515.99,1530.96,1515.75,1534.38,5003364000,4708529300,0.009,1531.75
sh000001,37419,1531.75,1524.84,1513.92,1531.75,3818566000,3736411100,-0.004,1529.44
sh000001,37420,1524.77,1511.71,1511.22,1529.44,3564521000,3701850400,-0.0086,1508.65
sh000001,37421,1508.64,1494.25,1493.24,1508.65,3919951000,3628483500,-0.0115,1496.84
sh000001,37424,1489.14,1496.24,1481.25,1496.84,2933162000,2774209800,0.0013,1527.77
sh000001,37425,1496.83,1524.07,1496.81,1527.77,5365161000,5209067900,0.0186,1524.01
sh000001,37426,1523.95,1507.67,1506.43,1524.01,3052878000,2903867100,-0.0108,1528.36
sh000001,37427,1511.12,1516.15,1510.53,1528.36,3975061000,3720233400,0.0056,1564.92
sh000001,37428,1517.28,1562.72,1517.26,1564.92,12542144000,11847838600,0.0307,1709.07
sh000001,37431,1704.7,1707.31,1647.5,1709.07,48518062000,49479880700,0.0925,1748.89
sh000001,37432,1718.23,1706.59,1690.61,1748.89,42238118000,39276720800,-0.0004,1719.08
sh000001,37433,1698.11,1712.91,1684.91,1719.08,24305872000,22850335900,0.0037,1730.67
sh000001,37434,1714.74,1723.55,1706.14,1730.67,21996949000,19527987700,0.0062,1747.23
sh000001,37435,1724.73,1732.76,1711,1747.23,29735383000,27319475300,0.0053,1740.38
sh000001,37438,1736.29,1713.71,1712.77,1740.38,15519283000,14410128000,-0.011,1725.89
sh000001,37439,1707.45,1724.95,1698.83,1725.89,13378134000,12692810700,0.0066,1736.08
sh000001,37440,1727.09,1730.92,1719.62,1736.08,13949883000,13262936600,0.0035,1735.83
sh000001,37441,1731.9,1713.14,1710.29,1735.83,13898310000,12856610500,-0.0103,1722.48
sh000001,37442,1709.84,1722.19,1704.19,1722.48,11401356000,10822714500,0.0053,1737.86
sh000001,37445,1723.58,1732.93,1721.12,1737.86,10851016000,11098899400,0.0062,1741.92
sh000001,37446,1733.83,1729.99,1724.39,1741.92,10536016000,10444746300,-0.0017,1729.73
sh000001,37447,1728.52,1701.82,1698.83,1729.73,12233203000,11949595800,-0.0163,1712.2
sh000001,37448,1698.21,1696.94,1689.22,1712.2,9187411000,9282337000,-0.0029,1706.44
sh000001,37449,1696.64,1698.3,1693.21,1706.44,8083987000,8390500400,0.0008,1697.38
sh000001,37452,1696.81,1687.95,1685.54,1697.38,7999839000,8025674100,-0.0061,1704.77
sh000001,37453,1687.67,1691.62,1686.81,1704.77,7056378000,6945805700,0.0022,1702.24
sh000001,37454,1692.45,1701.72,1680.2,1702.24,6300345000,6253292800,0.006,1711.69
sh000001,37455,1703.81,1704.91,1695.4,1711.69,8167794000,8109548600,0.0019,1714.09
sh000001,37456,1706.36,1713.86,1703.38,1714.09,7183230000,7453637000,0.0052,1712.33
sh000001,37459,1712.02,1681.01,1678.5,1712.33,8333872000,8274087700,-0.0192,1684.66
sh000001,37460,1676.9,1673.86,1670.38,1684.66,6540926000,6693794100,-0.0043,1679.66
